1,0.00023064999999999978,4.25,4.25
2,0.0007159500000000006,7.2,14.2
3,0.0032488499999999976,15.25,63.0
4,0.02034870000000001,58.15,383.6
5,0.1232505,223.9,2273.55
6,0.6003887499999998,1171.4,11228.95
7,3.12790685,4992.9,58849.5
8,8.51232785,11920.7,160192.3
9,41.18974474999999,47887.95,777001.55
10,223.1646357999999,205845.5,4199151.0
11,637.8918485000003,628407.3,12046368.6
12,1599.4059146499999,599542.4,30208126.35
13,1219.5145413499988,1442157.85,22997493.9
14,2538.3152179,908294.5,47940636.7

1,0.00022580000000000012,4.25,4.25
2,0.0006915499999999991,6.75,13.75
3,0.003703549999999999,15.9,72.0
4,0.02431355,69.6,463.9
5,0.13010505,304.75,2467.1
6,0.6383584500000001,675.65,12268.85
7,2.7892572000000007,3807.0,53256.6
8,15.470627200000004,26504.35,295793.6
9,45.189973,57550.2,860510.35
10,280.4849711999999,416888.15,5374430.45
