1,0.0015625,14.6,3.4
2,0.0078125,82.45,20.7
3,0.034375,389.5,99.9
4,0.16171875,1774.3,457.15
5,0.59453125,6229.4,1613.55
6,2.17578125,19762.2,5194.95
7,7.84765625,66774.8,17903.35
8,32.11796875,197309.8,54303.95
9,159.41640625,587824.5,165287.65
10,1294.9625,1827049.4,539681.65

1,0.0,13.6,3.15
2,0.00625,72.0,18.0
3,0.03046875,351.55,90.15
4,0.1421875,1664.0,428.7
5,0.753125,7846.25,2036.35
6,3.28984375,30189.6,7966.35
7,11.1859375,96109.95,25841.8
8,54.44453125,337899.75,93073.15
9,176.1609375,620867.9,174788.2
